Amenity,Frequency
Kitchen,63551
Wifi,60669
Essentials,58332
Smoke alarm,51016
Hair dryer,48308
Iron,45549
Heating,45399
Hot water,45124
Hangers,44234
Dishes and silverware,42212
Washer,42209
Cooking basics,39963
Refrigerator,38790
Bed linens,38530
Shampoo,35599
Microwave,31102
TV,30772
Dedicated workspace,25109
Cleaning products,24730
Oven,23959
Elevator,23373
Coffee maker,22867
Hot water kettle,22855
Dishwasher,21255
Wine glasses,20685
Shower gel,20019
Baking sheet,19810
Dining table,19710
Freezer,19163
Toaster,18457
Extra pillows and blankets,17277
Drying rack for clothing,16894
Carbon monoxide alarm,16843
Long term stays allowed,16598
Self check-in,14947
Body soap,14778
Host greets you,14344
Stove,14209
Coffee,14042
Room-darkening shades,12192
Bathtub,12078
Dryer,11820
First aid kit,11360
Books and reading material,11276
Luggage dropoff allowed,11251
Portable fans,10905
Laundromat nearby,10538
Lockbox,10474
Fire extinguisher,9908
Private entrance,9638
Free washer – In unit,9477
Paid parking off premises,8910
Central heating,8647
TV with standard cable,8521
Pets allowed,7593
Free dryer – In unit,6640
Ethernet connection,6626
Smoking allowed,6533
Clothing storage,6314
Paid street parking off premises,6141
Coffee maker: Nespresso,5963
Air conditioning,5931
Single level home,5597
Clothing storage: closet,5560
Mini fridge,5433
Cleaning available during stay,5127
Private patio or balcony,5081
Paid parking on premises,4687
Blender,4462
Radiant heating,4291
Breakfast,4269
Crib,4262
City skyline view,4089
Indoor fireplace,3958
Conditioner,3907
Pocket wifi,3799
Outdoor dining area,3651
Coffee maker: espresso machine,3632
Pack ’n play/Travel crib,3590
Outdoor furniture,3432
Patio or balcony,3136
Courtyard view,2858
Clothing storage: walk-in closet,2775
Board games,2754
High chair,2745
Lock on bedroom door,2736
Children’s books and toys,2715
Security cameras on property,2487
Building staff,2449
Children’s dinnerware,2215
Rice maker,2151
Stainless steel oven,2103
Free parking on premises,2058
Babysitter recommendations,2053
Piano,1964
Coffee maker: drip coffee maker,1899
Induction stove,1843
Backyard,1842
Clothing storage: wardrobe,1819
Free street parking,1794
Netflix,1781
Portable heater,1761
Bread maker,1690
Paid parking garage off premises,1548
Safe,1534
Garden view,1518
Sound system,1389
Portable air conditioning,1270
Pack ’n play/Travel crib - available upon request,1269
Coffee maker: french press,1240
Electric stove,1238
Smart lock,1208
