,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien
14,AMD A10 PRO-7850B APU,"3,453",1955,23.33,$148.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10+PRO-7850B+APU&id=2416
15,AMD A10-4600M APU,"1,924",2682,32.62,$58.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-4600M+APU&id=10
18,AMD A10-5700 APU,"2,692",2268,39.58,$68.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5700+APU&id=12
20,AMD A10-5750M APU,"1,983",2647,21.09,$94.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5750M+APU&id=1920
22,AMD A10-5800B APU,"3,021",2132,67.14,$44.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800B+APU&id=1990
23,AMD A10-5800K APU,"2,969",2163,141.45,$20.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800K+APU&id=1446
24,AMD A10-6700 APU,"3,113",2093,80.83,$38.51,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700+APU&id=1936
25,AMD A10-6700T APU,"2,299",2475,26.12,$88.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700T+APU&id=2254
26,AMD A10-6790K APU,"3,069",2115,73.07,$42.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6790K+APU&id=2117
27,AMD A10-6800B APU,"3,088",2106,24.12,$128.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800B+APU&id=2155
28,AMD A10-6800K APU,"3,202",2060,67.37,$47.53,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800K+APU&id=1935
31,AMD A10-7700K APU,"3,204",2057,136.85,$23.41,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7700K+APU&id=2146
32,AMD A10-7800 APU,"3,190",2063,60.60,$52.64,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7800+APU&id=2262
33,AMD A10-7850K APU,"3,421",1967,61.08,$56.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7850K+APU&id=2133
34,AMD A10-7860K,"3,276",2028,61.59,$53.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7860K&id=2722
35,AMD A10-7870K,"3,403",1974,6.58,$517.20,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7870K&id=2531
36,AMD A10-7890K,"3,510",1940,25.71,$136.49,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7890K&id=2744
43,AMD A10-9700,"3,533",1934,40.13,$88.05,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-9700&id=2900
44,AMD A10-9700E,"3,171",2071,35.60,$89.09,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-9700E&id=3133
48,AMD A12-9800,"3,529",1936,40.25,$87.67,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800&id=2861
49,AMD A12-9800E,"3,445",1960,5.14,$670.15*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800E&id=3083
56,AMD A4-3300 APU,967,3434,17.07,$56.61,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3300+APU&id=13
57,AMD A4-3300M APU,711,3703,23.71,$29.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3300M+APU&id=14
58,AMD A4-3305M APU,729,3686,35.04,$20.81*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3305M+APU&id=15
60,AMD A4-3320M APU,668,3764,17.12,$39.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3320M+APU&id=17
62,AMD A4-3400 APU,"1,078",3316,13.49,$79.95,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3400+APU&id=18
63,AMD A4-3420 APU,"1,054",3341,7.75,$136.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3420+APU&id=19
64,AMD A4-4000 APU,"1,169",3229,58.58,$19.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4000+APU&id=1913
65,AMD A4-4020 APU,"1,266",3135,12.01,$105.37,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4020+APU&id=2305
66,AMD A4-4300M APU,"1,000",3401,33.48,$29.86*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4300M+APU&id=1813
72,AMD A4-5300 APU,"1,367",3064,50.74,$26.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-5300+APU&id=1447
73,AMD A4-5300B APU,"1,243",3156,47.89,$25.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-5300B+APU&id=1810
76,AMD A4-6300 APU,"1,426",3022,33.93,$42.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-6300+APU&id=2083
77,AMD A4-6300B APU,"1,328",3086,47.51,$27.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-6300B+APU&id=2112
78,AMD A4-6320 APU,"1,530",2950,21.86,$69.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-6320+APU&id=2212
80,AMD A4-7300 APU,"1,536",2946,83.17,$18.47,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-7300+APU&id=2357
89,AMD A6-3400M APU,"1,186",3211,48.50,$24.45*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3400M+APU&id=20
90,AMD A6-3410MX APU,"1,263",3141,316.44,$3.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3410MX+APU&id=21
93,AMD A6-3500 APU,"1,371",3061,18.30,$74.93,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3500+APU&id=24
94,AMD A6-3600 APU,"1,645",2863,65.94,$24.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3600+APU&id=25
95,AMD A6-3620 APU,"1,844",2739,81.98,$22.49*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3620+APU&id=26
96,AMD A6-3650 APU,"2,022",2624,15.80,$128.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3650+APU&id=27
97,AMD A6-3670 APU,"2,165",2552,39.39,$54.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3670+APU&id=28
98,AMD A6-4400M APU,"1,004",3393,37.19,$27.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-4400M+APU&id=29
102,AMD A6-5350M APU,"1,157",3240,34.94,$33.12,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-5350M+APU&id=1987
104,AMD A6-5400B APU,"1,457",2997,50.33,$28.94*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-5400B+APU&id=2085
105,AMD A6-5400K APU,"1,264",3140,24.29,$52.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-5400K+APU&id=1494
108,AMD A6-6400K APU,"1,468",2989,80.75,$18.18,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-6400K+APU&id=1960
110,AMD A6-6420K APU,"1,559",2919,10.39,$149.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-6420K+APU&id=2372
113,AMD A6-7400K APU,"1,606",2885,59.06,$27.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-7400K+APU&id=2392
114,AMD A6-7470K,"1,799",2767,20.22,$89.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-7470K&id=2771
115,AMD A6-7480,"1,838",2743,52.79,$34.82,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-7480&id=3436
126,AMD A6-9500,"1,874",2721,20.84,$89.95,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-9500&id=2903
127,AMD A6-9500E,"1,758",2799,30.65,$57.36,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-9500E&id=3330
130,AMD A8-3500M APU,"1,401",3045,23.36,$59.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3500M+APU&id=31
131,AMD A8-3510MX APU,"1,605",2886,20.82,$77.11*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3510MX+APU&id=32
132,AMD A8-3520M APU,"1,448",3007,26.33,$55.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3520M+APU&id=33
135,AMD A8-3800 APU,"1,996",2638,18.15,$109.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3800+APU&id=36
136,AMD A8-3820 APU,"2,166",2551,48.18,$44.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3820+APU&id=37
137,AMD A8-3850 APU,"2,347",2437,34.51,$68.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3850+APU&id=38
138,AMD A8-3870K APU,"2,289",2480,33.64,$68.04,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3870K+APU&id=39
139,AMD A8-4500M APU,"1,676",2841,29.81,$56.21*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-4500M+APU&id=40
141,AMD A8-5500 APU,"2,587",2314,43.89,$58.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-5500+APU&id=41
142,AMD A8-5500B APU,"2,628",2294,53.59,$49.04*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-5500B+APU&id=1868
146,AMD A8-5600K APU,"2,819",2220,40.85,$69.01,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-5600K+APU&id=1449
148,AMD A8-6500 APU,"2,801",2227,100.76,$27.80,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-6500+APU&id=1998
