,Unnamed: 0,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
0,14,AMD A10 PRO-7850B APU,"3,453",1955,23.33,$148.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10+PRO-7850B+APU&id=2416,"20,273 MOps/Sec","5,731 MOps/Sec",13 Million Primes/Sec,"6,649 Thousand Strings/Sec",979.0 MBytes/Sec,"58,989 KBytes/Sec",236 Frames/Sec,"2,184 Million Matrices/Sec","1,572 MOps/Sec"
1,15,AMD A10-4600M APU,"1,924",2682,32.62,$58.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-4600M+APU&id=10,"12,814 MOps/Sec","3,510 MOps/Sec",9 Million Primes/Sec,"4,013 Thousand Strings/Sec",566.4 MBytes/Sec,"30,522 KBytes/Sec",212 Frames/Sec,772 Million Matrices/Sec,"1,068 MOps/Sec"
2,18,AMD A10-5700 APU,"2,692",2268,39.58,$68.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5700+APU&id=12,"18,029 MOps/Sec","4,899 MOps/Sec",11 Million Primes/Sec,"5,669 Thousand Strings/Sec",808.2 MBytes/Sec,"44,968 KBytes/Sec",241 Frames/Sec,"1,119 Million Matrices/Sec","1,419 MOps/Sec"
3,20,AMD A10-5750M APU,"1,983",2647,21.09,$94.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5750M+APU&id=1920,"13,651 MOps/Sec","3,745 MOps/Sec",9 Million Primes/Sec,"4,216 Thousand Strings/Sec",605.0 MBytes/Sec,"32,107 KBytes/Sec",200 Frames/Sec,796 Million Matrices/Sec,"1,134 MOps/Sec"
4,22,AMD A10-5800B APU,"3,021",2132,67.14,$44.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800B+APU&id=1990,"20,134 MOps/Sec","5,518 MOps/Sec",11 Million Primes/Sec,"6,331 Thousand Strings/Sec",912.1 MBytes/Sec,"51,229 KBytes/Sec",247 Frames/Sec,"1,316 Million Matrices/Sec","1,567 MOps/Sec"
5,23,AMD A10-5800K APU,"2,969",2163,141.45,$20.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800K+APU&id=1446,"19,670 MOps/Sec","5,199 MOps/Sec",12 Million Primes/Sec,"6,314 Thousand Strings/Sec",899.3 MBytes/Sec,"50,406 KBytes/Sec",265 Frames/Sec,"1,246 Million Matrices/Sec","1,493 MOps/Sec"
6,24,AMD A10-6700 APU,"3,113",2093,80.83,$38.51,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700+APU&id=1936,"21,175 MOps/Sec","5,641 MOps/Sec",11 Million Primes/Sec,"6,513 Thousand Strings/Sec",947.8 MBytes/Sec,"51,735 KBytes/Sec",261 Frames/Sec,"1,306 Million Matrices/Sec","1,607 MOps/Sec"
7,25,AMD A10-6700T APU,"2,299",2475,26.12,$88.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700T+APU&id=2254,"15,900 MOps/Sec","4,257 MOps/Sec",9 Million Primes/Sec,"4,759 Thousand Strings/Sec",701.5 MBytes/Sec,"37,821 KBytes/Sec",219 Frames/Sec,960 Million Matrices/Sec,"1,290 MOps/Sec"
8,26,AMD A10-6790K APU,"3,069",2115,73.07,$42.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6790K+APU&id=2117,"20,110 MOps/Sec","5,396 MOps/Sec",11 Million Primes/Sec,"6,611 Thousand Strings/Sec",968.6 MBytes/Sec,"53,289 KBytes/Sec",265 Frames/Sec,"1,294 Million Matrices/Sec","1,557 MOps/Sec"
9,27,AMD A10-6800B APU,"3,088",2106,24.12,$128.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800B+APU&id=2155,"21,173 MOps/Sec","5,795 MOps/Sec",12 Million Primes/Sec,"6,165 Thousand Strings/Sec",983.6 MBytes/Sec,"51,440 KBytes/Sec",260 Frames/Sec,"1,328 Million Matrices/Sec","1,655 MOps/Sec"
