,Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)","Videocard Value
(higher is better)","Price
(USD)",lien
21,Barco MXRT 2600,900,1098,4.52,$199.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+2600&id=3886
22,Barco MXRT 5400,1161,960,5.72,$203.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5400&id=3354
23,Barco MXRT 5450,1079,997,5.40,$199.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5450&id=2526
24,Barco MXRT 5500,2701,549,9.04,$299.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5500&id=2699
25,Barco MXRT 5600,2465,588,3.50,$704.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5600&id=4158
27,Barco MXRT 7400,900,1097,9.10,$99.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+7400&id=2474
28,Barco MXRT 7500,3753,439,12.55,$299.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+7500&id=3353
29,Barco MXRT 7600,4943,359,8.20,$602.59*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+7600&id=4014
34,Dell 8100,2,2452,0.00,$999.11*,https://www.videocardbenchmark.net/gpu.php?gpu=Dell+8100&id=657
37,EAH5450,134,1897,1.22,$109.99*,https://www.videocardbenchmark.net/gpu.php?gpu=EAH5450&id=3742
48,FireGL V3600,179,1824,1.12,$160.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V3600&id=394
49,FireGL V5100,92,2024,0.81,$114.96*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5100&id=396
50,FireGL V5200,114,1955,0.86,$133.40*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5200&id=397
51,FireGL V5600,341,1661,1.52,$225.00*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5600&id=398
