,Unnamed: 0,Drive Name,Size,"Disk Rating
(higher is better)","Rank
(lower is better)","Drive Value
(higher is better)","Price
(USD)",Sequential Read,Sequential Write,Random Seek Read Write (IOPS 32KQD20),IOPS 4KQD1
0,0,1TB,931.5 GB,"3,570",4689,,,587 MBytes/Sec,290 MBytes/Sec,204 MBytes/Sec,20 MBytes/Sec
1,1,2-Power SSD2041A 120GB,111.8 GB,"2,795",6235,,,353 MBytes/Sec,276 MBytes/Sec,179 MBytes/Sec,33 MBytes/Sec
2,2,2-Power SSD2042A 240GB,223.6 GB,"3,326",5174,,,458 MBytes/Sec,304 MBytes/Sec,165 MBytes/Sec,21 MBytes/Sec
3,3,2-Power SSD2042B 256GB,238.5 GB,"3,406",5008,,,446 MBytes/Sec,362 MBytes/Sec,207 MBytes/Sec,20 MBytes/Sec
4,4,2-Power SSD2043A 480GB,447.1 GB,"2,597",6541,,,381 MBytes/Sec,202 MBytes/Sec,131 MBytes/Sec,17 MBytes/Sec
5,5,2-Power SSD2043B 512GB,476.9 GB,"4,140",3679,,,543 MBytes/Sec,423 MBytes/Sec,188 MBytes/Sec,29 MBytes/Sec
6,6,2710DCS23BF-128,119.2 GB,"3,387",5047,,,468 MBytes/Sec,360 MBytes/Sec,116 MBytes/Sec,8 MBytes/Sec
7,7,30TT253X2-512GB,476.9 GB,"2,533",6624,,,324 MBytes/Sec,249 MBytes/Sec,119 MBytes/Sec,20 MBytes/Sec
8,8,311CD0512GB,476.9 GB,"18,483",1278,,,"2,284 MBytes/Sec","1,613 MBytes/Sec","1,405 MBytes/Sec",66 MBytes/Sec
9,9,35TTFP6PCIE-1TB,953.9 GB,"12,554",2120,,,"1,632 MBytes/Sec","1,289 MBytes/Sec",601 MBytes/Sec,24 MBytes/Sec
10,10,35TTFP6PCIE-256G,238.5 GB,"12,997",2024,,,"1,668 MBytes/Sec","1,274 MBytes/Sec",682 MBytes/Sec,33 MBytes/Sec
11,11,3E128-TS2-550B01,93.1 GB,"3,736",4374,,,455 MBytes/Sec,270 MBytes/Sec,310 MBytes/Sec,17 MBytes/Sec
12,12,3Q SSD S220-128GB,111.8 GB,"2,156",7107,,,NA,NA,NA,NA
13,13,3Q SSD S220-64GB,55.9 GB,"1,816",7372,,,NA,NA,NA,NA
14,14,500GB-PRO-X-SS,465.8 GB,"11,138",2340,,,"1,937 MBytes/Sec",700 MBytes/Sec,489 MBytes/Sec,18 MBytes/Sec
15,15,511BS0256GB,238.5 GB,"13,052",2017,,,"2,049 MBytes/Sec",735 MBytes/Sec,827 MBytes/Sec,63 MBytes/Sec
16,16,511BS0512GB,476.9 GB,"22,111",866,,,"2,921 MBytes/Sec","1,763 MBytes/Sec","1,473 MBytes/Sec",65 MBytes/Sec
17,17,51RISC 256GB,238.5 GB,"3,312",5212,,,505 MBytes/Sec,364 MBytes/Sec,52 MBytes/Sec,12 MBytes/Sec
18,18,670p SSDPEKNU512GZ NVMe INTEL 512GB,476.9 GB,"16,692",1495,,,"2,469 MBytes/Sec","1,449 MBytes/Sec",939 MBytes/Sec,67 MBytes/Sec
19,19,690 NEO Pro M.2 256GB,238.5 GB,"3,760",4326,,,540 MBytes/Sec,485 MBytes/Sec,206 MBytes/Sec,24 MBytes/Sec
20,20,7335943:ICDPC5ED2ORA6.4T,2.9 TB,"15,066",1699,,,"1,825 MBytes/Sec","1,221 MBytes/Sec","1,264 MBytes/Sec",36 MBytes/Sec
21,21,"980Plus 2.5""3-256GB SSD",238.5 GB,"2,907",6013,,,492 MBytes/Sec,229 MBytes/Sec,81 MBytes/Sec,16 MBytes/Sec
22,22,980Plus M.2 2242-64GB,59.6 GB,"2,160",7104,,,NA,NA,NA,NA
23,23,AATO-50-1TCI,953.9 GB,"30,870",426,,,"3,592 MBytes/Sec","3,098 MBytes/Sec","2,326 MBytes/Sec",85 MBytes/Sec
24,24,ACCLAMATOR SSD 1TB,953.9 GB,"27,033",537,,,"3,805 MBytes/Sec","3,173 MBytes/Sec","1,957 MBytes/Sec",76 MBytes/Sec
25,25,ACCLAMATOR SSD 2TB,1.9 TB,"23,266",756,,,"3,464 MBytes/Sec","2,644 MBytes/Sec","1,353 MBytes/Sec",81 MBytes/Sec
26,26,ACCLAMATOR SSD 480GB,447.1 GB,"4,055",3815,,,536 MBytes/Sec,478 MBytes/Sec,200 MBytes/Sec,27 MBytes/Sec
27,27,ACCLAMATOR SSD 512GB,476.9 GB,"19,668",1147,,,"2,641 MBytes/Sec","2,289 MBytes/Sec",857 MBytes/Sec,72 MBytes/Sec
28,28,Acer SSD FA100 128GB,119.2 GB,"4,368",3391,,,652 MBytes/Sec,273 MBytes/Sec,273 MBytes/Sec,31 MBytes/Sec
29,29,Acer SSD FA100 1TB,953.9 GB,"20,813",1041,166.51,$124.99,"2,504 MBytes/Sec","2,248 MBytes/Sec","1,465 MBytes/Sec",70 MBytes/Sec
30,30,Acer SSD FA100 256GB,238.5 GB,"12,593",2116,629.96,$19.99,"1,508 MBytes/Sec","1,072 MBytes/Sec",905 MBytes/Sec,59 MBytes/Sec
31,31,Acer SSD FA100 512GB,476.9 GB,"17,385",1424,621.11,$27.99,"2,467 MBytes/Sec","1,500 MBytes/Sec",990 MBytes/Sec,63 MBytes/Sec
32,32,Acer SSD RE100 2.5 256GB,238.5 GB,"3,342",5143,,,473 MBytes/Sec,344 MBytes/Sec,182 MBytes/Sec,27 MBytes/Sec
33,33,Acer SSD SA100 1920GB,1.7 TB,"3,571",4686,,,415 MBytes/Sec,342 MBytes/Sec,219 MBytes/Sec,30 MBytes/Sec
34,34,Acer SSD SA100 240GB,223.6 GB,"3,491",4838,183.84,$18.99,456 MBytes/Sec,304 MBytes/Sec,225 MBytes/Sec,26 MBytes/Sec
35,35,Acer SSD SA100 480GB,447.1 GB,"3,419",4981,148.74,$22.99,479 MBytes/Sec,318 MBytes/Sec,177 MBytes/Sec,24 MBytes/Sec
36,36,ACPI SSD2F-M SSD 120GB,111.8 GB,"1,364",7740,,,NA,NA,NA,NA
37,37,ACPI SSD2F-M SSD 240GB,223.6 GB,"2,661",6437,,,NA,NA,NA,NA
38,38,ACPI SSD2F-M SSD 64GB,59.6 GB,"2,394",6825,,,NA,NA,NA,NA
39,39,ADATA FALCON,1.9 TB,"19,064",1212,,,"2,601 MBytes/Sec","1,184 MBytes/Sec","1,540 MBytes/Sec",40 MBytes/Sec
40,40,ADATA FALCON,953.9 GB,"18,116",1331,301.99,$59.99,"2,487 MBytes/Sec","1,246 MBytes/Sec","1,426 MBytes/Sec",40 MBytes/Sec
41,41,ADATA FALCON,476.9 GB,"14,981",1709,,,"2,173 MBytes/Sec","1,055 MBytes/Sec","1,125 MBytes/Sec",32 MBytes/Sec
42,42,ADATA FALCON,238.5 GB,"9,935",2509,,,"1,254 MBytes/Sec",803 MBytes/Sec,725 MBytes/Sec,39 MBytes/Sec
43,43,ADATA ICFP301-512GP,476.9 GB,"10,908",2379,,,"1,140 MBytes/Sec",839 MBytes/Sec,"1,027 MBytes/Sec",63 MBytes/Sec
44,44,ADATA IM2S3164-128GCTB5,119.2 GB,"3,554",4719,,,473 MBytes/Sec,328 MBytes/Sec,173 MBytes/Sec,25 MBytes/Sec
45,45,ADATA IM2S3168-128GP,119.2 GB,"4,640",3174,,,531 MBytes/Sec,439 MBytes/Sec,309 MBytes/Sec,27 MBytes/Sec
46,46,ADATA IM2S3168-256GP,238.5 GB,"4,783",3086,,,530 MBytes/Sec,463 MBytes/Sec,320 MBytes/Sec,33 MBytes/Sec
47,47,ADATA IM2S3338-128GD2,119.2 GB,"4,034",3839,,,515 MBytes/Sec,332 MBytes/Sec,255 MBytes/Sec,38 MBytes/Sec
