,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
0,A Force Manufacturing Ltd. 1GX64B160K 8GB,28,12.5,9.3,NA
1,A Force Manufacturing Ltd. 1GX64V133I 8GB,28,13.4,9.5,NA
2,A Force Manufacturing Ltd. 1GX64V160K 8GB,25,14.0,8.9,NA
3,A Force Manufacturing Ltd. 1GX72B160K 8GB,32,13.8,10.6,NA
4,A Force Manufacturing Ltd. 1GX72V133I 8GB,32,9.3,7.2,NA
5,A Force Manufacturing Ltd. 25664Y133I 2GB,27,14.5,8.1,NA
6,A Force Manufacturing Ltd. 25664Y160K 2GB,70,4.6,3.4,NA
7,A Force Manufacturing Ltd. 51264V160K 4GB,32,9.2,4.3,NA
8,A Force Manufacturing Ltd. 51264Y133I 4GB,26,13.3,9.4,NA
9,A Force Manufacturing Ltd. 51264Y160K 4GB,26,14.9,9.8,NA
10,A-DATA Technology 10241925 2GB,28,14.1,7.8,NA
11,A-DATA Technology 10242272 8GB,28,14.1,8.5,NA
12,A-DATA Technology 10242281 8GB,28,12.1,7.7,NA
13,A-DATA Technology 10242397 4GB,37,14.3,8.8,NA
14,A-DATA Technology 10242398 4GB,70,6.2,3.5,NA
15,A-DATA Technology 10242646 8GB,29,9.0,5.1,NA
16,A-DATA Technology 10281763 4GB,28,12.3,8.2,NA
17,A-DATA Technology AD63I1B0823EV 2GB,26,13.1,7.6,NA
18,A-DATA Technology AD63I1B0823EZD 2GB,26,13.9,7.5,NA
19,A-DATA Technology AD63I1B16ZZEU 2GB,67,6.7,5.3,NA
20,A-DATA Technology AD63I1C08ZZE1 4GB,28,13.4,7.4,NA
21,A-DATA Technology AD63I1C1624EV 4GB,27,12.8,7.6,NA
22,A-DATA Technology AD63I1C1624EVS 4GB,31,12.7,6.9,NA
23,A-DATA Technology AD63I1D1624EVDH 4GB,60,7.4,5.8,NA
24,A-DATA Technology AD64C1D1624E1B 8GB,26,13.9,9.5,NA
25,A-DATA Technology AD73I1B1672EG 2GB,26,12.2,8.5,NA
26,A-DATA Technology AD73I1C1674EV 4GB,40,11.3,7.5,NA
27,A-DATA Technology AM1L16BC2P1-B1FS 2GB,88,5.3,3.7,NA
28,A-DATA Technology AM1L16BC4R1-B1GS 4GB,30,11.0,7.1,NA
29,A-DATA Technology AM1L16BC4R1-B1HS 4GB,87,5.4,3.8,NA
30,A-DATA Technology AM1L16BC4R1-B1MS 4GB,30,8.8,4.3,NA
31,A-DATA Technology AM1L16BC4R1-B1PS 4GB,28,11.7,7.3,NA
32,A-DATA Technology AM1L16BC8R2-B1NS 8GB,30,12.2,9.0,NA
33,A-DATA Technology AM1L16BC8R2-B1QS 8GB,44,13.1,9.3,NA
34,A-DATA Technology AM1L16BC8R2-B1XS 8GB,28,12.6,8.5,NA
35,A-DATA Technology AM1U16BC4P2-B19B 4GB,84,2.3,2.4,NA
36,A-DATA Technology AM1U16BC4P2-B19C 4GB,42,5.7,6.0,NA
37,A-DATA Technology AM1U16BC4P2-B19H 4GB,27,11.2,8.4,NA
38,A-DATA Technology AM2L16BC4R1-B0AS 4GB,27,13.4,7.8,NA
39,A-DATA Technology AM2L16BC4R1-B0CS 4GB,26,9.8,4.6,NA
40,A-DATA Technology AM2L16BC4R1-B0PS 4GB,36,15.6,8.8,NA
41,A-DATA Technology AM2L16BC4R1-B0WS 4GB,26,14.1,9.5,NA
42,A-DATA Technology AM2L16BC8R2-B06S 8GB,26,12.0,7.6,NA
43,A-DATA Technology AM2L16BC8R2-B0BS 8GB,24,11.2,5.4,NA
44,A-DATA Technology AM2L16BC8R2-B0QS 8GB,26,10.9,7.7,NA
45,A-DATA Technology AM2L16BC8R2-B0XS 8GB,25,13.0,7.2,NA
46,A-DATA Technology AM2U139C2P1-B00S 2GB,27,12.0,9.9,NA
47,A-DATA Technology AM2U139C4P2-B01S 4GB,26,13.2,8.3,NA
48,A-DATA Technology AM2U139C4P2-B05S 4GB,26,13.9,8.3,NA
49,A-DATA Technology AM2U139C4P2-B07S 4GB,26,14.0,8.2,NA
50,A-DATA Technology AM2U139C4P2-S01S 4GB,25,13.1,8.5,NA
51,A-DATA Technology AM2U139C4P284V 4GB,24,9.6,4.5,NA
52,A-DATA Technology AM2U16BC4P2-B01S 4GB,23,15.6,9.9,NA
53,A-DATA Technology AM2U16BC4P2-B05B 4GB,35,14.6,9.5,NA
54,A-DATA Technology AM2U16BC4P2-B05J 4GB,25,13.8,9.9,NA
55,A-DATA Technology AM2U16BC4P2-B05S 4GB,67,6.0,4.5,NA
56,A-DATA Technology AM2U16BC8R2-B06S 8GB,28,11.2,10.5,NA
57,A-DATA Technology AO1L16BC4R1-BQ7S 4GB,38,12.2,8.4,NA
58,A-DATA Technology AO2L16BC4R1-BR1S 4GB,34,13.2,7.8,NA
59,A-DATA Technology AO2L16BC8R2-BR2S 8GB,39,15.1,9.6,NA
60,A-DATA Technology AO2L16BC8R2-BTES 8GB,32,16.1,10.5,NA
61,A-DATA Technology D63I1B16 2GB,27,14.5,8.4,NA
62,A-DATA Technology DDR3 1333+ 2GB,71,6.8,5.3,NA
63,A-DATA Technology DDR3 1333G 2GB,40,13.6,7.8,NA
64,A-DATA Technology DDR3 1600 2OZ 4GB,36,15.0,8.8,NA
65,A-DATA Technology DDR3 1600 4GB,41,14.3,8.8,NA
66,A-DATA Technology DDR3 1600+ 2GB,24,12.0,6.2,NA
67,A-DATA Technology DDR3 1600G 2OZ 2GB,37,13.0,9.7,NA
68,A-DATA Technology DDR3 1600G 4GB,38,13.9,9.2,NA
69,A-DATA Technology DDR3 1600X 2GB,65,6.4,5.0,NA
70,A-DATA Technology DDR3 1866 2OZ 4GB,21,17.8,10.0,NA
71,A-DATA Technology DDR3 1866 8GB,39,14.6,8.9,NA
72,A-DATA Technology DDR3 1866G 2OZ 4GB,22,15.6,10.8,NA
73,A-DATA Technology DDR3 2000G 2GB,25,13.5,10.4,NA
74,A-DATA Technology DDR3 2000G 2OZ 4GB,23,15.4,9.8,NA
75,A-DATA Technology DDR3 2000X 2GB,23,14.2,9.7,NA
76,A-DATA Technology DDR3 2133 2OZ 4GB,40,14.6,9.9,NA
77,A-DATA Technology DDR3 2133 4GB,36,13.3,9.3,NA
78,A-DATA Technology DDR3 2133X 8GB,24,14.3,10.7,NA
79,A-DATA Technology DDR3 2400 2OZ 8GB,35,16.0,10.8,NA
80,A-DATA Technology DDR3 2400G 2OZ 8GB,35,14.2,10.7,NA
81,A-DATA Technology DDR3 2400G 4GB,69,6.9,4.3,NA
82,A-DATA Technology DDR3 2600 2OZ 8GB,21,17.3,11.4,NA
83,A-DATA Technology DDR3 2600G 2OZ 4GB,23,15.4,10.1,NA
84,A-DATA Technology DDR3 2800 2OZ 8GB,19,17.8,11.7,NA
85,A-DATA Technology DDR3 2933 2OZ 4GB,23,16.9,9.8,NA
86,A-DATA Technology DDR3L 1333G 4GB,26,12.3,8.3,NA
87,A-DATA Technology DDR3L 1600G 4GB,24,12.8,8.6,NA
88,A-DATA Technology EL63I1C1624ZV 4GB,28,12.2,7.3,NA
89,A-DATA Technology EL64C1C1624Z1 4GB,39,14.3,9.2,NA
90,A-DATA Technology EL64C1D1624Z1 8GB,38,13.4,8.9,NA
91,A-DATA Technology HY63I1B08ZZZS 2GB,68,6.2,4.9,NA
92,A-DATA Technology HY63I1B16 2GB,27,13.2,8.6,NA
93,A-DATA Technology HY64C1C1624ZY 4GB,37,12.8,7.6,NA
94,A-DATA Technology HYU3I1C16 4GB,26,11.3,8.4,NA
95,A-DATA Technology MI64C1D1629Z1 8GB,40,14.5,9.5,NA
96,A-DATA Technology MI74C1D16 8GB,28,10.4,5.1,NA
97,A-DATA Technology MI74C1D167HZ1 8GB,30,12.7,9.2,NA
98,A-DATA Technology MIF4D1D167HZ1 8GB,29,11.3,7.5,NA
99,A-DATA Technology MIF4D1D167HZ1J 8GB,40,12.3,8.9,NA
100,A-DATA Technology MIF4D2C087KZ1 4GB,28,11.2,9.0,NA
101,ACPI Digital Co. Ltd. CMA5-4GA01AAL12UU0 8GB,45,14.9,9.3,NA
102,Air Computers SRL MXUD3L08160011XB7R 8GB,89,6.1,3.6,NA
103,AMD  4GB,27,14.4,9.3,NA
104,AMD AE32G1339U1 2GB,28,9.9,7.5,NA
105,AMD AE32G1609U1 2GB,66,6.7,4.5,NA
106,AMD AE34G1339U1 4GB,71,6.2,3.7,NA
107,AMD AE34G1339U2 4GB,26,12.5,8.0,NA
108,AMD AE34G1601U1 4GB,67,6.8,3.6,NA
109,AMD AE34G1601U2K 4GB,70,6.4,4.7,NA
110,AMD AE34G1609U1 4GB,70,6.5,4.5,NA
111,AMD AE34G1609U1S 4GB,25,11.8,6.6,NA
112,AMD AE34G1609U2 4GB,34,16.1,9.8,NA
113,AMD AE34G1869U2 4GB,66,6.3,4.8,NA
114,AMD AE34G2139U2 4GB,56,7.4,5.6,NA
115,AMD AE34G2409U2 4GB,60,5.7,4.2,NA
116,AMD AE38G1339U2 8GB,70,6.1,4.0,NA
117,AMD AE38G1601U1 8GB,63,7.1,5.0,NA
118,AMD AE38G1601U2 8GB,25,15.7,10.2,NA
119,AMD AE38G1601U2K 8GB,72,6.2,5.2,NA
120,AMD AE38G1609U2 8GB,29,11.5,8.1,NA
121,AMD AE38G1869U2 8GB,67,6.7,3.6,NA
122,AMD AE38G2409U2 8GB,62,6.3,5.4,NA
123,AMD AG34G2130U1 4GB,22,15.9,10.5,NA
124,AMD AG34G2130U1S 4GB,23,17.6,11.2,NA
125,AMD AG38G2130U2 8GB,23,15.1,11.4,NA
126,AMD AG38G2130U2S 8GB,22,17.5,11.7,NA
127,AMD AP34G1338U1K 2GB,69,6.8,4.6,NA
128,AMD AP34G1608U1K 2GB,23,14.3,8.6,NA
129,AMD AP34G1860U2K 4GB,69,6.3,4.8,NA
130,AMD AP34G1869U1 4GB,22,16.0,8.7,NA
131,AMD AP34G1869U1S 4GB,23,16.1,9.5,NA
132,AMD AP38G1338U2K 4GB,23,15.8,10.4,NA
133,AMD AP38G1608U2K 4GB,24,14.4,9.2,NA
134,AMD AP38G1860U2K 4GB,74,6.0,4.2,NA
135,AMD AP38G1869U2 8GB,24,14.7,9.4,NA
136,AMD AP38G1869U2K 4GB,68,6.6,5.1,NA
137,AMD AP38G1869U2S 8GB,33,15.2,9.9,NA
138,AMD AV34G1339U2 4GB,71,5.8,4.2,NA
139,AMD AV34G1601U2 4GB,24,16.1,10.3,NA
140,AMD AV38G1339S2 8GB,28,8.6,4.4,NA
141,AMD AV38G1601U2 8GB,66,6.7,5.2,NA
142,AMD R332G1339U1S 2GB,25,9.2,4.1,NA
143,AMD R334G1339U2S 4GB,29,9.0,4.8,NA
144,AMD R5316G1609U2K 8GB,73,6.3,5.2,NA
145,AMD R534G1601U1S 4GB,68,6.5,4.7,NA
146,AMD R534G1601U1S-UO 4GB,27,14.7,9.2,NA
147,AMD R538G1601S2LS 8GB,28,11.3,8.2,NA
148,AMD R538G1601S2SL 8GB,49,12.5,8.5,NA
149,AMD R538G1601U1S 8GB,66,6.9,3.7,NA
150,AMD R538G1601U2S 8GB,32,15.6,10.3,NA
151,AMD R538G1601U2S-UGO 8GB,27,13.9,9.4,NA
152,AMD R538G1601U2S-UO 8GB,26,14.2,10.0,NA
153,AMD R538G1609U1K 4GB,77,6.3,4.7,NA
