,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
70,A-DATA Technology DDR4 3000 8GB,31,17.2,13.7,$389.99*,https://www.memorybenchmark.net/ram.php?ram=A-DATA+Technology+DDR4+3000+8GB&id=9293
446,Corsair CMD128GX4M8A2400C14 16GB,32,12.1,9.1,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8A2400C14+16GB&id=8740
447,Corsair CMD128GX4M8A2666C15 16GB,36,14.5,13.6,$879.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8A2666C15+16GB&id=9262
448,Corsair CMD128GX4M8B2800C14 16GB,27,14.8,10.6,$969.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B2800C14+16GB&id=8957
449,Corsair CMD128GX4M8B3000C16 16GB,26,14.8,10.2,$977.79*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B3000C16+16GB&id=10192
450,Corsair CMD128GX4M8B3200C16 16GB,31,12.2,12.1,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B3200C16+16GB&id=10903
452,Corsair CMD16GX4M2A2666C15 8GB,28,17.1,13.5,$115.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2A2666C15+8GB&id=8083
453,Corsair CMD16GX4M2B2400C10 8GB,27,18.1,14.1,$192.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B2400C10+8GB&id=8851
455,Corsair CMD16GX4M2B3000C15 8GB,29,18.1,13.9,$100.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3000C15+8GB&id=7956
456,Corsair CMD16GX4M2B3200C14 8GB,23,17.0,12.5,$219.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3200C14+8GB&id=9687
