,Unnamed: 0,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
0,6,Corsair CMH32GX5M2B5200C40 16GB,46,19.1,16.1,$309.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5200C40+16GB&id=19422,"8,970 KOps/Sec","38,943 MBytes/Sec","25,505 MBytes/Sec","19,067 MBytes/Sec",50 ns (lower is better),"65,176 MBytes/Sec"
1,7,Corsair CMH32GX5M2B5600C36 16GB,43,20.2,17.0,$329.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5600C36+16GB&id=19413,"10,265 KOps/Sec","39,988 MBytes/Sec","27,145 MBytes/Sec","20,588 MBytes/Sec",47 ns (lower is better),"69,390 MBytes/Sec"
2,8,Corsair CMH32GX5M2B5600C40 16GB,45,19.0,16.1,$349.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5600C40+16GB&id=19837,"10,235 KOps/Sec","39,906 MBytes/Sec","25,637 MBytes/Sec","19,468 MBytes/Sec",49 ns (lower is better),"69,830 MBytes/Sec"
3,9,Corsair CMH32GX5M2B6000C40 16GB,42,21.7,17.1,$399.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B6000C40+16GB&id=19698,"11,601 KOps/Sec","40,198 MBytes/Sec","30,370 MBytes/Sec","22,560 MBytes/Sec",47 ns (lower is better),"73,285 MBytes/Sec"
4,10,Corsair CMH32GX5M2B6200C36 16GB,38,23.5,20.5,$469.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B6200C36+16GB&id=19661,"11,694 KOps/Sec","40,547 MBytes/Sec","30,205 MBytes/Sec","22,415 MBytes/Sec",46 ns (lower is better),"75,697 MBytes/Sec"
5,11,Corsair CMK32GX5M2A4800C40 16GB,41,16.8,14.5,$339.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2A4800C40+16GB&id=18102,"8,977 KOps/Sec","35,386 MBytes/Sec","19,820 MBytes/Sec","15,941 MBytes/Sec",45 ns (lower is better),"65,764 MBytes/Sec"
6,12,Corsair CMK32GX5M2B5200C40 16GB,41,17.9,15.1,$289.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B5200C40+16GB&id=18097,"9,355 KOps/Sec","37,030 MBytes/Sec","22,282 MBytes/Sec","17,367 MBytes/Sec",46 ns (lower is better),"67,360 MBytes/Sec"
7,13,Corsair CMK32GX5M2B5600C36 16GB,39,18.7,16.0,$319.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B5600C36+16GB&id=18149,"9,968 KOps/Sec","38,573 MBytes/Sec","24,185 MBytes/Sec","18,932 MBytes/Sec",45 ns (lower is better),"71,517 MBytes/Sec"
8,21,Corsair CMK64GX5M2B5200C40 32GB,43,18.3,16.2,$479.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX5M2B5200C40+32GB&id=18151,"11,243 KOps/Sec","39,539 MBytes/Sec","24,343 MBytes/Sec","19,268 MBytes/Sec",48 ns (lower is better),"67,446 MBytes/Sec"
9,22,Corsair CMK64GX5M2B5600C40 32GB,43,20.6,17.7,$634.99,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX5M2B5600C40+32GB&id=18871,"12,341 KOps/Sec","41,021 MBytes/Sec","24,506 MBytes/Sec","19,360 MBytes/Sec",48 ns (lower is better),"69,657 MBytes/Sec"
