,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
0,A-DATA Technology DDR4 3000 8GB,31,17.2,13.7,$389.99*,https://www.memorybenchmark.net/ram.php?ram=A-DATA+Technology+DDR4+3000+8GB&id=9293,"4,495 KOps/Sec","30,569 MBytes/Sec","17,349 MBytes/Sec","11,223 MBytes/Sec",40 ns (lower is better),"36,563 MBytes/Sec"
1,Corsair CMD128GX4M8A2400C14 16GB,32,12.1,9.1,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8A2400C14+16GB&id=8740,NA,"19,945 MBytes/Sec","12,149 MBytes/Sec","9,110 MBytes/Sec",32 ns (lower is better),NA
2,Corsair CMD128GX4M8A2666C15 16GB,36,14.5,13.6,$879.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8A2666C15+16GB&id=9262,"5,707 KOps/Sec","28,195 MBytes/Sec","14,515 MBytes/Sec","13,576 MBytes/Sec",36 ns (lower is better),"62,706 MBytes/Sec"
3,Corsair CMD128GX4M8B2800C14 16GB,27,14.8,10.6,$969.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B2800C14+16GB&id=8957,"3,939 KOps/Sec","27,745 MBytes/Sec","14,570 MBytes/Sec","10,538 MBytes/Sec",38 ns (lower is better),"44,750 MBytes/Sec"
4,Corsair CMD128GX4M8B3000C16 16GB,26,14.8,10.2,$977.79*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B3000C16+16GB&id=10192,"4,112 KOps/Sec","27,864 MBytes/Sec","14,579 MBytes/Sec","10,057 MBytes/Sec",33 ns (lower is better),"48,411 MBytes/Sec"
5,Corsair CMD128GX4M8B3200C16 16GB,31,12.2,12.1,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B3200C16+16GB&id=10903,NA,"27,411 MBytes/Sec","12,188 MBytes/Sec","12,108 MBytes/Sec",31 ns (lower is better),NA
6,Corsair CMD16GX4M2A2666C15 8GB,28,17.1,13.5,$115.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2A2666C15+8GB&id=8083,"4,343 KOps/Sec","28,660 MBytes/Sec","16,816 MBytes/Sec","12,018 MBytes/Sec",38 ns (lower is better),"32,099 MBytes/Sec"
7,Corsair CMD16GX4M2B2400C10 8GB,27,18.1,14.1,$192.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B2400C10+8GB&id=8851,"5,219 KOps/Sec","31,662 MBytes/Sec","17,939 MBytes/Sec","14,002 MBytes/Sec",27 ns (lower is better),"31,187 MBytes/Sec"
8,Corsair CMD16GX4M2B3000C15 8GB,29,18.1,13.9,$100.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3000C15+8GB&id=7956,"4,671 KOps/Sec","30,789 MBytes/Sec","17,871 MBytes/Sec","12,966 MBytes/Sec",35 ns (lower is better),"35,621 MBytes/Sec"
9,Corsair CMD16GX4M2B3200C14 8GB,23,17.0,12.5,$219.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3200C14+8GB&id=9687,"5,434 KOps/Sec","30,184 MBytes/Sec","17,381 MBytes/Sec","12,698 MBytes/Sec",27 ns (lower is better),"28,078 MBytes/Sec"
